index,axis-0,axis-1,axis-2
118.0,105.0,286.8353008615468,768.7837191482182
119.0,106.0,286.8353008615468,768.7837191482182
120.0,107.0,287.4873065188309,768.4214937830603
121.0,108.0,287.4873065188309,768.3490487100288
122.0,109.0,288.2117572491466,768.493938856092
123.0,110.0,289.08109812552544,768.8561642212497
124.0,111.0,288.0668671030835,768.4214937830603
125.0,112.0,288.9362079794623,768.1317134909341
126.0,113.0,288.79131783339915,766.9725923224289
127.0,114.0,288.7188727603676,766.1756965190817
128.0,115.0,288.9362079794623,763.929899255103
129.0,116.0,289.37087841765174,764.8716852045135
130.0,117.0,289.08109812552544,763.7125640360083
131.0,118.0,289.08109812552544,763.8574541820715
132.0,119.0,289.66065870977803,763.4952288169136
133.0,120.0,289.66065870977803,763.4952288169136
134.0,121.0,289.66065870977803,763.4952288169136
135.0,122.0,290.167774220999,762.4809977944717
136.0,123.0,290.167774220999,762.4809977944717
137.0,124.0,290.167774220999,762.4809977944717
138.0,65.0,1031.9891917159796,568.9658460573979
139.0,66.0,1031.409631131727,570.124967225903
140.0,67.0,1031.409631131727,570.124967225903
141.0,68.0,1030.9749606935377,570.7769728831872
142.0,69.0,1030.250509963222,570.4871925910609
143.0,70.0,1029.4536141598746,570.124967225903
144.0,71.0,1029.4536141598746,570.124967225903
145.0,72.0,1028.4393831374327,571.2840883944082
146.0,73.0,1027.2802619689276,570.9943081022818
147.0,74.0,1028.2220479183381,571.139198248345
148.0,75.0,1028.2220479183381,570.9943081022818
149.0,76.0,1028.2944929913697,571.4289785404713
150.0,77.0,1028.2944929913697,571.3565334674397
151.0,78.0,1028.2944929913697,571.3565334674397
152.0,80.0,1028.2944929913697,571.3565334674397
153.0,79.0,1029.6709493789695,571.0667531753135
154.0,81.0,1029.6709493789695,571.0667531753135
155.0,82.0,1031.5545212777902,568.458730546177
156.0,83.0,1031.916746642948,569.2556263495242
157.0,84.0,1031.6994114238535,569.2556263495242
158.0,85.0,1031.1922959126325,569.5454066416505
159.0,86.0,1030.6851804014113,569.7627418607452
160.0,87.0,1030.9025156205062,568.9658460573979
161.0,88.0,1030.9025156205062,568.458730546177
162.0,89.0,1031.6994114238535,567.3720544507034
163.0,133.0,691.7172265956226,505.01663622643696
164.0,134.0,691.7172265956226,505.01663622643696
165.0,135.0,692.3865027287699,504.6819981598633
166.0,136.0,693.2230978952039,503.67808396014243
167.0,137.0,695.2309262946457,504.01272202671606
168.0,138.0,695.2309262946457,503.3434458935688
169.0,139.0,695.2309262946457,503.67808396014243
170.0,140.0,693.7250549950644,502.50685072713475
171.0,141.0,693.7250549950644,503.8454029934293
172.0,142.0,695.0636072613588,504.18004106000285
173.0,143.0,692.5538217620567,504.51467912657654
174.0,144.0,693.2230978952039,505.01663622643696
175.0,145.0,693.2230978952039,505.6859123595842
176.0,146.0,690.3786743293281,506.3551884927315
177.0,147.0,689.0401220630336,506.8571455925919
178.0,148.0,688.0362078633127,506.0205504261578
179.0,149.0,687.1996126968786,505.18395525972375
180.0,150.0,689.3747601296072,504.18004106000285
181.0,151.0,689.3747601296072,504.01272202671606
182.0,152.0,690.8806314291885,503.5107649268556
183.0,153.0,692.3865027287699,502.0048936272743
184.0,154.0,692.3865027287699,501.8375745939875
185.0,155.0,694.3943311282117,502.0048936272743
186.0,156.0,697.5733927606611,501.8375745939875
187.0,183.0,644.770618887762,247.94040384906378
188.0,184.0,644.770618887762,247.94040384906378
189.0,185.0,644.770618887762,247.94040384906378
190.0,186.0,645.7108718678721,248.52806196163266
191.0,187.0,646.1222325466704,248.41053033911888
192.0,188.0,646.5923590367254,247.64657479277935
193.0,189.0,647.6501436393494,247.17644830272425
194.0,190.0,646.7686564704961,248.23423290534822
195.0,191.0,647.6501436393494,248.7043593954033
196.0,192.0,647.82644107312,248.35176452786197
197.0,193.0,648.5903966194596,248.35176452786197
198.0,194.0,647.356314583065,247.8816380378069
199.0,195.0,649.6481812220835,249.87967562054104
200.0,196.0,648.5316308082026,249.9972072430548
201.0,197.0,648.355333374432,249.87967562054104
202.0,198.0,645.6521060566153,250.8786944119081
203.0,199.0,644.5943214539913,250.93746022316498
204.0,200.0,643.7716000963949,252.05401063704582
205.0,201.0,643.7716000963949,252.52413712710091
206.0,60.0,323.77155236472186,749.8339384012027
207.0,61.0,323.56528551331695,750.4527389554173
208.0,62.0,323.56528551331695,750.2464721040124
209.0,63.0,323.35901866191205,749.8339384012027
210.0,64.0,322.74021810769733,750.4527389554173
211.0,65.0,323.9778192161267,748.3900704413683
212.0,66.0,324.8028866217463,748.8026041441781
213.0,67.0,323.9778192161267,748.8026041441781
214.0,68.0,323.35901866191205,749.8339384012027
215.0,69.0,323.35901866191205,747.7712698871536
216.0,70.0,321.70888385067286,747.9775367385585
217.0,71.0,322.1214175534827,748.3900704413683
218.0,72.0,321.70888385067286,749.8339384012027
219.0,73.0,322.74021810769733,749.4214046983927
220.0,74.0,322.74021810769733,749.6276715497977
221.0,75.0,323.35901866191205,748.8026041441781
222.0,76.0,323.56528551331695,749.8339384012027
223.0,77.0,323.15275181050714,749.2151378469879
224.0,78.0,321.91515070207777,749.6276715497977
225.0,79.0,321.29635014786305,749.6276715497977
226.0,80.0,321.29635014786305,748.3900704413683
227.0,81.0,321.29635014786305,748.3900704413683
228.0,82.0,319.64621533662387,750.0402052526074
229.0,83.0,318.6148810795994,752.1028737666564
