x0002,y0002,x0003,y0003
404,0.5133628845,404,0.5133628845,
406,0.5367861986,406,0.5367861986,
408,0.4312738776,408,0.4312738776,
410,0.1397255808,410,0.1397255808,
412,0.5000662208,412,0.5000662208,
414,0.8146096468,414,0.8146096468,
416,0.0494479537,416,0.0494479537,
418,0.05154062063,418,0.05154062063,
420,0.1631921381,420,0.1631921381,
422,0.7193656564,422,0.7193656564,
424,0.07794845104,424,0.07794845104,
426,0.4356630445,426,0.4356630445,
428,0.5937609076,428,0.5937609076,
430,0.1167646497,430,0.1167646497,
432,0.6174373627,432,0.6174373627,
434,0.0478339754,434,0.0478339754,
436,0.116997622,436,0.116997622,
438,0.4434235096,438,0.4434235096,
440,0.1050352752,440,0.1050352752,
442,0.4098217189,442,0.4098217189,
444,0.1597384214,444,0.1597384214,
446,0.4058354795,446,0.4058354795,
448,0.1722364724,448,0.1722364724,
450,0.3764395118,450,0.3764395118,
452,0.8563892245,452,0.8563892245,
454,0.7755122781,454,0.7755122781,
456,0.02718734741,456,0.02718734741,
458,0.09308101237,458,0.09308101237,
460,0.1340681762,460,0.1340681762,
462,0.04909494892,462,0.04909494892,
464,0.9667442441,464,0.9667442441,
466,0.7329414487,466,0.7329414487,
468,0.7474808097,468,0.7474808097,
470,0.9775941372,470,0.9775941372,
472,0.9439971447,472,0.9439971447,
474,0.05564282462,474,0.05564282462,
476,0.0667353645,476,0.0667353645,
478,0.7536352277,478,0.7536352277,
480,0.1515268832,480,0.1515268832,
482,0.2481450289,482,0.2481450289,
484,0.3511604667,484,0.3511604667,
486,0.1260585487,486,0.1260585487,
488,0.5130302906,488,0.5130302906,
490,0.9116346836,490,0.9116346836,
492,0.8553689122,492,0.8553689122,
494,0.2583055496,494,0.2583055496,
496,0.3737003803,496,0.3737003803,
498,0.5772244334,498,0.5772244334,
500,0.6057060957,500,0.6057060957,
502,0.1345718205,502,0.1345718205,
504,0.9008674026,504,0.9008674026,
506,0.1877992749,506,0.1877992749,
508,0.084485434,508,0.084485434,
